budget,id,popularity,revenue,runtime,vote_average,vote_count
135000000,10048,17.88953,76932943,121.0,4.9,331
130000000,13183,64.798873,185258983,163.0,7.0,2811
140000000,944,24.855701,285444603,127.0,6.3,767
137000000,1927,34.981698,245360480,138.0,5.3,1533
130000000,72559,59.325589,371876278,110.0,5.4,3025
130000000,7364,21.605568,119269486,124.0,5.7,434
137000000,2114,26.074908,85131830,106.0,5.9,433
140000000,1771,74.506246,370569774,124.0,6.6,7047
135000000,36643,39.604363,361832400,128.0,6.0,862
150000000,8619,36.973031,212011111,138.0,6.9,790
120000000,50620,99.687084,829000000,115.0,6.1,2553
130000000,65759,17.7735,150406466,100.0,5.8,373
150000000,1724,62.898336,163712074,114.0,6.1,3021
140000000,267935,44.19092,183345589,120.0,6.0,1000
135000000,281957,100.635882,532950503,156.0,7.3,6396
135000000,77950,44.765377,282570682,96.0,6.1,1074
135000000,44896,29.91353,245724603,107.0,6.6,2051
132000000,270946,84.366984,373552094,92.0,6.5,1346
70000000,2503,45.381501,442824138,115.0,7.3,2888
130000000,9502,84.689648,631744560,90.0,6.9,3145
130000000,102899,120.09361,519311965,117.0,7.0,5880
130000000,101299,76.310119,847423452,146.0,7.4,6495
135000000,228161,63.473086,368871007,94.0,6.8,1519
132000000,74,48.572726,591739379,116.0,6.2,2322
130000000,8961,38.068736,273339556,147.0,6.3,1564
130000000,417859,20.678787,554987477,90.0,6.4,451
110000000,27576,48.829437,293329073,100.0,6.2,2093
125000000,86834,46.115758,362637473,139.0,5.6,2350
130000000,17578,89.938296,371940071,107.0,6.7,2061
130000000,673,79.679601,789804554,141.0,7.7,5877
130000000,6972,28.840997,49554002,165.0,6.3,694
130000000,82700,42.840582,243843127,100.0,5.0,2532
127500000,10567,26.548594,354248063,82.0,6.2,542
127000000,181533,115.597753,349424282,97.0,6.1,1851
130000000,38055,68.757242,321887208,95.0,6.7,1918
125000000,671,109.984351,976475550,152.0,7.5,7006
130000000,49524,39.448066,61648500,96.0,5.4,1260
140000000,22,271.972889,655011224,143.0,7.5,6985
125000000,131631,206.227151,752100229,123.0,6.6,5584
125000000,591,45.313197,767820459,149.0,6.5,2704
103000000,172385,42.40024,500188435,102.0,6.3,978
110000000,36658,2.871739,407711549,133.0,6.8,3506
125000000,51497,7.255718,626137675,130.0,7.1,2438
